,Title,Location,Company,Salary,Description,Link,apply Link,date
0,Machine Learning Developer,"Panaji, Goa",Enigma Tech,"₹16,530 - ₹50,000 a month","Introduction:Enigma Tech is a fast-growing Global Technology Company with a large base of international clients. We offer a vast range of services from highly technical expertise to the essential services like finance, operations, marketing & customer support solutions. There are many benefits in working with Enigma Tech apart from our U.K client list, we are thrilled and excited to offer this opportunity to the best candidate and place heavy emphasis on recruiting the right member of staff for the right job role. Enigma Tech is looking for candidates who wish to be challenged and be recognized for their ability. If you are the kind of individual with unrecognized talent and hunger who will willing to learn and push the envelope, Enigma Tech is the right company for you.If you wish to challenge, grow, develop and truly be a part of an incredibly journey, then please come and meet us, say hello and see how we can work together.Responsibilities and Duties:Understanding business objectives and developing models that help to achieve them, along with metricsto track their progressAnalyzing the ML algorithms that could be used to solve a given problem and ranking them by theirsuccess probability and error rateExploring and visualizing data to gain an understanding of it, then identifying differences in datadistribution that could affect performance when deploying the model in the real world.Supervising the data acquisition process if more data is needed.Finding available datasets online that could be used for training.Defining the preprocessing or feature engineering to be done on a given dataset.Training models and tuning their hyperparameters.Analyzing the errors of the model and designing strategies to overcome them.Requirements:The candidate must have exposure to following requirements with an experience of 3+ years.Sound knowledge of Apache Spark and DataBricks.Hands-on experience with Data Classification and Clustering algorithms.Knowledge of Java, Scala , C# and PythonGood Understanding of Web/Desktop/Mobile/APIs based Application and Technologies.Understanding and experience to run an ML model with the required latency.Qualifications:Degree – Graduates/Postgraduate in CSE/IT or related fieldShift Timings: Monday to Friday from 1.30 pm to 10.30 pm (UK Shift)Job Type: Full-timeSalary: ₹16,530.00 - ₹50,000.00 per monthExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Work Remotely:NoCOVID-19 Precaution(s):Remote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitising, disinfecting, or cleaning procedures in placeJust posted",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,Just posted
1,Backend Developer for a Product Based Edutech Company,"Bengaluru, Karnataka",Shaw Academy,"₹10,00,000 - ₹15,00,000 a year","Job Description:Backend developer with hands-on programming experience in Node Js / Python / GolangExpertise in developing REST APIs with any backend framework using above languages.Expertise in system design & architecture patterns.Experience in building reusable code and libraries for future use.Experience in optimising application for maximum speed and scalability.Strong fundamentals in computer programming, data structure & algorithms.Exposure to AWS services like S3, CloudFront, CloudWatch, lambda & API gateway.Good understanding for SQL & NoSQL dB’s, preferably work experience with MongoDB.Job Type: Full-timeSalary: ₹1,000,000.00 - ₹1,500,000.00 per yearSchedule:Day shiftExperience:GoLang: 1 year (Preferred)Work Remotely:Temporarily due to COVID-1930+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,30+ days ago
2,Python/Django Developer,"Kochi, Kerala",Cognitive Systems Ltd.,"₹10,000 - ₹25,000 a month","Urgently hiringWe are looking for a Python developer to join our team creating 4th generation HR Technology products for global markets.Roles and ResponsibilitiesUnder the general guidance of the team lead Writing and testing code, debugging programs, and integrating applications with third-party web services.Minimum of 6 months prior experience in python development.Intermediate level understanding of Python web the framework, Django.Excellent understanding of basic coding standards and practices.Ability to work independently and within a team environment.Perks and BenefitsWe offer competitive pay, bonus, health insurance, and paid holidays.NoteThis is a 100% in-house position and WFH is not feasible.Since it is an urgent requirement, those who are available immediately are encouraged to apply.Expected Start Date: 17/2/2021Job Type: Full-timeSalary: ₹10,000.00 - ₹25,000.00 per monthBenefits:Health insurancePaid time offSchedule:Day shiftEducation:Bachelor's (Required)Work Remotely:No1 day agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,1 day ago
3,ReactJS and Django Python Developer,"Ernakulam, Kerala",Larkcs Life Link (OPC) Pvt. Ltd.,"₹20,000 - ₹25,000 a month","Are you confident in your coding skills and consider yourself prolific and high-performing?If yes, then you are the one we are looking for.If you consider yourself proficient in ReactJS and Django Python with an experience in the field for 1-2 years, then wait no more; apply to the position of Developer at Larkcs!Job Type: Full-timeSalary: ₹20,000.00 - ₹25,000.00 per monthBenefits:Paid time offWork from homeSchedule:Day shiftExperience:work: 1 year (Required)Education:Bachelor's (Required)Work Remotely:YesCOVID-19 Precaution(s):Remote interview processSpeak with the employer+91 9061718000Just postedReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,Just posted
4,Python Developer,"Kochi, Kerala",Easyjobs Recruitment,"₹30,000 - ₹50,000 a month","Looking for Python Django Developer for a company based on Info Park KachinRequirementsWork experience as a Python DeveloperExpertise in at least one popular Python framework - DjangoKnowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsBSc in Computer Science, Engineering or relevant fieldJob Type: Full-timeSalary: ₹30,000.00 - ₹50,000.00 per monthExperience:Django: 1 year (Preferred)Python: 2 years (Preferred)Education:Bachelor's (Preferred)Work Remotely:NoSpeak with the employer+91 98959661012 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,2 days ago
5,Python Developer,"Vijayawada, Andhra Pradesh",HCL Technologies,None,"HCL Technologies continues to grow its strong presence in India, contributing to the cause of nation-building through advanced technology solutions. HCL Technologies Development Center in Vijayawada started operations in February 2020, with the aim of creating a hub focused on Engineering, R&D and related services. With its distinct strategy and expanding portfolio, HCL Vijayawada is at the forefront of delivering best–in–class offerings across core services, next–generation services and products and platforms.With over 1000+ employees currently, HCL Vijayawada envisions to expand and grow in parallel. We are looking to hire proficient talent in areas of network engineering, product testing, software engineering (Java Full Stack, .Net Full Stack, AWS Developers etc.) and more!Join us, to be part of the team leading digital for the world.Job Description:Python (or) TCL/TK Automation Engineer with Protocol Functionality TestingLayer-2 Bridging protocols like - STP/MSTP/RSTP,Layer-3 Routing protocols Like – TCP/IP, IPv4/IPv6, OSPF, BGP4, PIM, PIM-SM/SSMJob Type: Full-timeSchedule:Monday to FridayIndeed3 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,https://in.indeed.com/rc/clk?jk=9be51a6b56875d7e&from=vj&sjdu=wn66jxiOcpvCgOg0LPbpjdzOrEUoMyoBXhtrXaEg56GEL6RVWJN5J9_16l5PMSqK&spon=1&adid=363917006&mvj=0&vjfrom=vjs&pos=bottom&ad=-6NYlbfkN0CSGGeGOL-QT8wuTDDWmSO2rq_h1zW3XqpofyVe7ecVsH5XpaDcXQvLV8NwbyMEC7P-7Nls9eAj5AvBza0NM4Ck-Ij8SbfIcskNKDvS0BDUwYYWJKCenYGgmLqEBaeZPgIjnPFl_ysTnVFhGJyVNFcfEzPpH4Yeog0OLlLifTlJgCUxhuI3p9FGMRXnDADy9iVyda4hb8fh_nEhLmwFZLLxksNr1UjkyMpPb06KquAXTuH_KZ850uzBFEsjTwNhN-yt_T38kjdNXSuw8OK7j193JY5iyW6yR9Qs_4Q53OSOmhO1n9tiJtabTEwhno2K1m2CGoyU7V6TDDn8Y2lyXGhM5-dG4eisQfX5-_C9o-w119WPTPn1ZHMcD1XM_vPoPzObFXQQlN6k_g1nHhQACA0ybKrDic8k6Xs=&astse=7e5f7b37bc9e7b59&assa=4684,3 days ago
6,Python Developer Intern,"Kochi, Kerala",VianInfo Solutions Pvt Ltd,"₹10,000 - ₹20,000 a month","Selected intern's day-to-day responsibilities include:1. Writing reusable, testable, and efficient code2. Designing and implementing low-latency, high-availability, and performant applications3. Integrating user-facing elements developed by front-end developers with server-side logic4. Implementing security and data protection5. Integrating data storage solutions may include databases, key-value stores, etc.Contract length: 3-6 monthsJob Types: Full-time, InternshipSalary: ₹10,000.00 - ₹20,000.00 per monthSchedule:Monday to FridayExperience:Python: 1 year (Preferred)Education:Bachelor's (Preferred)Required Documents:Aadhar Card (Preferred)COVID-19 Precaution(s):Remote interview processVirtual meetings17 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,17 days ago
7,Python Developer,"Chennai, Tamil Nadu",foyer technologies,"₹2,59,048 - ₹12,43,691 a year","have to code strongly and precisely. should be a team player. must be motivated by himself.Job Type: Full-timeSalary: ₹259,048.00 - ₹1,243,691.00 per yearBenefits:Flexible scheduleFood allowanceHealth insuranceSchedule:Day shiftExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Python: 1 year (Preferred)Education:Bachelor's (Preferred)Work Remotely:NoJust postedReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,Just posted
8,Python/Django Developer position below:,"Ghatkesar, Andhra Pradesh",Sreenidhi Institute of Science and Technology,"₹45,000 - ₹70,000 a month","Job DescriptionWe are looking for a Python Web Developer responsible for managing the interchange of analytical data between the server and the users. Your primary focus will be the development of algorithms for the server-side logic, ensuring high performance and responsiveness to the requests. You will also be responsible for integrating the front-end elements built by your co-workers into the application; therefore, a basic understanding of front-end technologies is necessary as well.ResponsibilitiesWriting reusable, testable, and efficient codeDesign and implementation of low-latency, high-availability, and performant applicationsIntegration of user-facing elements developed by front-end developers with server side logicImplementation of security and data protectionIntegration of data storage solutionsSkills And QualificationsExpert in Python, with knowledge of at least one Python web framework such as Django or FlaskFamiliarity with some ORM (Object Relational Mapper) librariesAble to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architectureGood understanding of server-side templating languages such as Jinja 2 or MakoBasic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3Understanding of accessibility and security complianceKnowledge of user authentication and authorization between multiple systems, servers, and environmentsUnderstanding of fundamental design principles behind a scalable applicationFamiliarity with event-driven programming in PythonAble to create database schemas that represent and support business processesStrong unit test and debugging skillsProficient understanding of code versioning tools preferably GitJob Type: Full-timeSalary: ₹45,000.00 - ₹70,000.00 per monthSchedule:Day shiftExperience:total: 1 year (Preferred)work: 1 year (Preferred)Python: 1 year (Preferred)Education:Bachelor's (Preferred)Just postedReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,Just posted
9,Python/Django Developer,"Kochi, Kerala",Pearl Global Solutions,"₹6,00,000 - ₹9,00,000 a year","Job SummaryLooking for a Technical lead with good experience in Python/Django. Designing and Developing web applications from Specification to Deployment will be appreciatedDesirable to have full stack development experienceResponsibilities and DutiesTechnical lead for the teamDesign and Development of Web based enterprise applicationGuide the teamImplementation and DeploymentKey SkillsPython,Django ,Angular 6Required Experience and Qualifications5+ years of experience in the required technologiesJob Type: Full-timeSalary: ₹600,000.00 - ₹900,000.00 per yearExperience:total work: 5 years (Preferred)Angualr: 1 year (Preferred)Python: 3 years (Preferred)Education:Bachelor's (Preferred)Industry:Software DevelopmentWork Remotely:Yes5 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=0,Default Indeed Apply,5 days ago
