,Title,Location,Company,Salary,Synopsis
0,Backend Developer for a Product Based Edutech Company,None,Shaw Academy,"

₹10,00,000 - ₹15,00,000 a year
",Backend developer with hands-on programming experience in Node Js / Python / Golang.Expertise in developing REST APIs with any backend framework using above…
1,Python Developer,None,HCL Technologies,None,"HCL Technologies continues to grow its strong presence in India, contributing to the cause of nation-building through advanced technology solutions."
2,Python/Django Developer,"Kochi, Kerala",Cognitive Systems Ltd.,"

₹10,000 - ₹25,000 a month
",Minimum of 6 months prior experience in python development.We are looking for a Python developer to join our team creating 4th generation HR Technology…
3,Python Developer,"Chennai, Tamil Nadu",foyer technologies,"

₹2,59,048 - ₹12,43,691 a year
","Have to code strongly and precisely. should be a team player. must be motivated by himself.Salary: ₹259,048.00 - ₹1,243,691.00 per year."
4,Python/Django Developer position below:,"Ghatkesar, Andhra Pradesh",Sreenidhi Institute of Science and Technology,"

₹45,000 - ₹70,000 a month
",Integration of user-facing elements developed by front-end developers with server side logic.We are looking for a Python Web Developer responsible for managing…
5,Python Developer Fresher,"Chandigarh, Chandigarh",DataKund,"

₹10,000 - ₹15,000 a month
",We are looking for python developers who have made few projects in python & have good logical skills.Applicants who have done industrial training in python…
6,Python/Django Developer,"Thiruvananthapuram, Kerala",StackGenie,"

₹30,000 a month
",Responsible for robust and efficient implementation.Suggest technical solutions for short and long term.Collaborate with team members and across groups to…
7,Python Developer,"Vijayawada, Andhra Pradesh",Try Logic Soft Solutions Pvt Ltd.,"

₹18,708 - ₹86,977 a month
",We are recruiting Talented freshers and experienced personnel on various domains for our Training cum Development Division (TAC [Trylogic Academic Concept])…
8,Python Junior Developer,India,FULLSTACK TECHIES,"

₹5,00,000 - ₹10,00,000 a year
",Involve in integrating with front-end developers.FULLSTACK TECHIES consists of the top 10% of IT developers all over the world.Experience: 0 to 3 Years.
9,Python Developer,"Bengaluru, Karnataka",ANCIT CONSULTING,"

₹5,00,000 a year
",Strong knowledge on python scripting and automation.We are Looking for aspiring Automotive Engineers to join our revolutionary Automotive/Aero space Team @…
10,Python Developer,"Mumbai, Maharashtra",QAD,None,QAD Service Delivery is driven by a passion for creating exceptional customer satisfaction.We achieve this by applying quality service and concepts that reduce…
11,Python Developer,"Nagercoil, Tamil Nadu",Wibits Web Solutions,None,Coordinating with front-end developers.We are looking for an experienced Python Developer to join our development team and help us develop and maintain various…
12,Python/Django Developer,"Nagercoil, Tamil Nadu",Odoo/Python Developer,"

₹15,000 - ₹25,000 a month
","Published on : 12 days ago.0-2 yrs of hands on experience in developing Python and its popular frameworks like Django, Flask etc.Work: 0-2 year (Preferred)."
13,Python Django Developer,"Gurgaon, Haryana",Gmware,None,Proven work experience over python and Django.Python Django Developer : *0.5 - 4+year.Work on live projects of Django framework.
14,ReactJS and Django Python Developer,"Ernakulam, Kerala",Larkcs Life Link (OPC) Pvt. Ltd.,"

₹20,000 - ₹25,000 a month
","Are you confident in your coding skills and consider yourself prolific and high-performing?If yes, then you are the one we are looking for."
15,Full Stack Developer,None,Confidential,"

₹50,000 - ₹1,20,000 a month
","Experience with backend development in Nodejs, Django and python.Minimum 3-5 years of experience as a full stack developer.Job Types: Full-time, Part-time."
16,Python Developer,None,HCL Technologies,None,"HCL Technologies continues to grow its strong presence in India, contributing to the cause of nation-building through advanced technology solutions."
17,Senior Odoo Developer,None,eJam,"

₹10,00,000 - ₹15,00,000 a year
",We plan to offer a salary of Rs.10-15 lakh per annum for senior developers (more than 5 years experience.We are looking for expert Odoo developers (5+ years…
18,Senior Python Developer,None,FocusIT Tech Systems Private Limited,"

₹6,00,000 - ₹14,00,000 a year
",Coordinating with front-end developers.We are looking for an experienced Python developer with 5+ years of experience to join and lead our development team and…
19,Python Developer,"Nagercoil, Tamil Nadu",Wibits Web Solutions,None,Coordinating with front-end developers.We are looking for an experienced Python Developer to join our development team and help us develop and maintain various…
20,Python/Django Developer,"Nagercoil, Tamil Nadu",Odoo/Python Developer,"

₹15,000 - ₹25,000 a month
","Published on : 12 days ago.0-2 yrs of hands on experience in developing Python and its popular frameworks like Django, Flask etc.Work: 0-2 year (Preferred)."
21,Python Django Developer,"Gurgaon, Haryana",Gmware,None,Proven work experience over python and Django.Python Django Developer : *0.5 - 4+year.Work on live projects of Django framework.
22,ReactJS and Django Python Developer,"Ernakulam, Kerala",Larkcs Life Link (OPC) Pvt. Ltd.,"

₹20,000 - ₹25,000 a month
","Are you confident in your coding skills and consider yourself prolific and high-performing?If yes, then you are the one we are looking for."
23,Python Developer,"Kochi, Kerala",Easyjobs Recruitment,"

₹30,000 - ₹50,000 a month
","Looking for Python Django Developer for a company based on Info Park Kachin.Work experience as a Python Developer.Salary: ₹30,000.00 - ₹50,000.00 per month."
24,Python Developer,"Pune, Maharashtra",Turnera Tech Private Limited,"

₹15,000 - ₹50,000 a month
","We need a Python developer to create a GUI based product suite.Candidate should be a self-starter, ready to learn and have good programming skills."
25,Python Developer,"Thiruvananthapuram, Kerala",Client of Cocoa Cloud,"

₹12,000 - ₹20,000 a month
","Strong knowledge in and advanced Python.Sound knowledge of database designing.Expertise in frameworks such as JQuery, AngularJS, ,Django,Flask etc."
26,Python Developer,"Bengaluru, Karnataka",ZISPL Client,"

₹3,00,000 - ₹9,00,000 a year
","Hiring for Python Developer for ZISPL client \_ Fulltime \_ Mumbai, please send resume to murthydotmnatzispldotcom Salary: 3-8L, Exp: 1-3 Years, NP: Immediate…"
27,Python/Django Developer,"Karnal, Haryana",Hcode Technologies,"

₹5,00,000 - ₹9,00,000 a year
",Build tech products using python/django.We are looking to hire talented individuals for backend python Django role.Complete ownership of the projects.
28,Python Developer,Remote,Infiniticube Services Pvt Ltd,None,Integration of user-facing elements developed by front-end developers with server side logic.We are looking for a Python Web Developer responsible for managing…
29,Software Developer/Programmer,None,BizAcumen Research Pvt. Ltd.,"

₹30,000 - ₹1,00,000 a month
","We are recruiting Programmers, Database experts, and Symfony Developers for the following full-time and part-time positions to work remotely from home for our…"
30,NodeJS React Full Stack Developer (MERN),None,CloudActive Labs India Pvt Ltd,"

₹9,60,000 - ₹12,00,000 a year
",JS React full stack developer with creative energy for progressive development to join our team.We are looking for an experienced Node.
31,Backend Developer for a Product Based Edutech Company,None,Shaw Academy,"

₹10,00,000 - ₹15,00,000 a year
",Backend developer with hands-on programming experience in Node Js / Python / Golang.Expertise in developing REST APIs with any backend framework using above…
32,Trainee - freshers - Internship - python-python Developer -...,"Bengaluru, Karnataka",Shri TirupatiI Balaji Education Foundation,"

₹3,60,000 - ₹5,90,000 a year
",Candidate need to be fresher.Must be graduate in any field.Benefit - 6 months Internship Certificate + Training +Job.Bachelor Of Technology (B.Tech/B.E).
33,Python Developer,Remote,WorkStreet,"

₹35,000 - ₹55,000 a month
","Skills - SAAS Development ( Mandatory), Django, Micro-Services.Job Types: Full-time, Contract.Salary: ₹35,000.00 - ₹55,000.00 per month."
34,Python Developer,"Pune, Maharashtra",Nihilent,None,"Location: Pune Experience: 3-8 Years Skills: Infrastructure Automation, django,…"
35,Python Junior Developer,India,FullStackTechies,"

₹5,00,000 - ₹10,00,000 a year
",Involve in integrating with front-end developers.FULLSTACK TECHIES consists of the top 10% of IT developers all over the world.Experience: 0 to 3 Years.
36,Python Developer Fresher,"Bengaluru, Karnataka",Fyers securities,None,Develop and maintain dynamic APIs.Develop and maintain server side applications which interact with various data stores.Server Knowledge: Basics of Linux.
37,Python Developer,"Thiruvananthapuram, Kerala",Zoondia Software,"

₹30,000 a month
","Expertise in Python, Django, SQL.Experience in designing the service layer and communication with the front-end modules.Work Experience : 2-4 yrs."
38,Python Developer,"Thiruvananthapuram, Kerala",Quinoid Business Solutions Pvt Ltd,None,"We are looking for technical engineers who will build best of breed architecture for web platform.Come and be a part of our small, high-performance Web…"
39,Python/Django Developer,"Thiruvananthapuram, Kerala",Skoutworx Business Consulting,"

₹4,50,000 a year
","Knowledge in writing python scripts for automation, cron jobs etc.1-3 years of experience in Python development and Django framework."
40,Python Developer (Fresher),"Begumpet, Hyderabad, Telangana",Magneq Software,"

₹18,000 - ₹25,000 a month
",Integration of user-facing elements developed by front-end developers with server side logic.Our company is seeking to hire a skilled Python Developer to help…
41,Python/Django Developer,"Kochi, Kerala",Pearl Global Solutions,"

₹6,00,000 - ₹9,00,000 a year
",Looking for a Technical lead with good experience in Python/Django.Designing and Developing web applications from Specification to Deployment will be…
42,Python Developer,"Gurgaon, Haryana",HRinnovations,"

₹15,000 - ₹25,000 a month
",Candidate should have hands-on experience in Django Framework.Candidate should be expert in writing APIs.Minimum hands-on experience shall be of 2 years.
43,Python Developer,"Nagercoil, Tamil Nadu",Wibits Web Solutions LLP,"

₹15,000 - ₹20,000 a month
",Coordinating with front-end developers.We are looking for an experienced Python Developer to join our development team and help us develop and maintain…
44,Opening for Python Full stack developer,"Bengaluru, Karnataka",eCourierz.com,"

₹4,00,000 - ₹10,00,000 a year
","Comfortable collaborating with designers, front-end developers and other team members.Ob Responsibilities: Python Full stack developer with Experience in Flask…"
45,Python Developer,"Pune, Maharashtra",Birdvision Consulting,None,Location: Pune (Work from Home till December 2020).Work Experience: 0-1 Yrs (Good Communication Skills).Good understanding of File-Operations in Python.
46,Python Developer,"Ahmedabad, Gujarat",TX Labs,"

₹40,000 a month
",We are looking for a Python Developer to join our team and help us develop and maintain various software products.Improve functionality of existing systems.
47,Python Developer,"Pune, Maharashtra",Birdvision Consulting,None,Location: Pune (Work from Home till December 2020).Work Experience: 0-1 Yrs (Good Communication Skills).Good understanding of File-Operations in Python.
48,Python Developer,"Ahmedabad, Gujarat",TX Labs,"

₹40,000 a month
",We are looking for a Python Developer to join our team and help us develop and maintain various software products.Improve functionality of existing systems.
49,Python Programming Language Application Developer,"Bengaluru, Karnataka",Accenture,None,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive,…"
50,Python Developer Intern,"Kochi, Kerala",VianInfo Solutions Pvt Ltd,"

₹10,000 - ₹20,000 a month
",Integrating user-facing elements developed by front-end developers with server-side logic.Selected intern's day-to-day responsibilities include:
51,Python/Django Developer,"Bengaluru, Karnataka",JAI INFOWAY PRIVATE LIMITED,"

₹20,000 - ₹70,000 a month
","Key Technologies -: jquery, Angular, React Native, Redux, RX Observables, Type Script etc.Expert in Python with knowledge of any of the Python framework such…"
52,Python Developer 2 + years exp,"Bengaluru, Karnataka",Lobotus Technology Pvt Ltd,"

₹3,59,345 - ₹14,37,820 a year
"," Strong ability to manipulate data using Pandas/Numpy and other python libraries, Should.Title: AI/ML Technical Consultant.Ability to write SQL like queries."
53,Python Developer,"Thiruvananthapuram, Kerala",Muskaan Parveen (Proprietor Of Muskan Industry),"

₹3,50,000 - ₹4,59,999 a year
",Expertise in Core Python.Sound Knowledge of Web Frameworks.Skills of Data Scientists.Artificial Intelligence and Machine Learning Skill.
54,Python/Django Developer,"Nagpur, Maharashtra",ServiceNet Technologies Pvt Ltd.,None,"Integration of user-facing elements developed by front-end developers with server side logic.Write reusable, testable, and efficient code."
55,Python Developer,"Indore, Madhya Pradesh",Tekit Solutions,"

₹30,000 a month
",Salary offered: * Hike on current.We are looking for a Python Developer to join our engineering team and help us develop and maintain various software…
